INSTRUMENT ID,taken_on,Reading1,Temperature,Reading2,Reading3,Reading4,Reading5,Reading6,Reading_Ave,Load
A34,03/31/2025 12:00,5141.7100,-0.17,5512.83,4746.43,4925.15,5187.92,4979.38,5082.2367,391.5219
A34,03/28/2025 12:00,5141.7640,-0.17,5512.505,4746.25,4925.079,5187.763,4979.303,5082.1107,391.5434
A34,03/26/2025 12:00,5141.6620,-0.17,5512.554,4746.26,4924.875,5188.163,4979.249,5082.1272,391.5406
A34,03/24/2025 12:00,5141.6200,-0.17,5512.344,4746.225,4924.922,5187.903,4979.15,5082.0273,391.5577
A34,03/21/2025 12:00,5141.7180,-0.17,5512.514,4746.398,4924.709,5188.244,4979.249,5082.1387,391.5386
A34,03/19/2025 12:00,5141.5440,-0.17,5512.224,4746.377,4924.66,5187.927,4979.243,5081.9958,391.5631
A34,03/17/2025 12:00,5141.6620,-0.17,5512.452,4746.283,4924.651,5188.289,4979.034,5082.0618,391.5518
A34,03/14/2025 12:00,5141.6210,-0.17,5512.584,4746.247,4924.628,5188.192,4979.014,5082.0477,391.5542
A34,03/12/2025 12:00,5141.5520,-0.17,5512.282,4746.184,4924.648,5188.195,4978.854,5081.9525,391.5705
A34,03/10/2025 12:00,5141.6580,-0.17,5512.349,4746.247,4924.533,5188.158,4978.89,5081.9725,391.5671
A34,03/07/2025 12:00,5141.3690,-0.18,5512.352,4746.122,4924.519,5188.173,4978.831,5081.8943,391.5804
A34,03/05/2025 12:00,5141.4440,-0.18,5512.257,4746.062,4924.441,5188.16,4978.797,5081.8602,391.5863
A34,03/03/2025 12:00,5141.3900,-0.18,5512.341,4746.072,4924.236,5187.826,4978.777,5081.7737,391.6011
A34,02/28/2025 12:00,5141.0720,-0.18,5512.017,4745.972,4924.179,5188.077,4978.831,5081.6913,391.6152
A34,02/26/2025 12:00,5141.0820,-0.19,5512.242,4745.95,4924.002,5188.088,4978.708,5081.6787,391.6173
A34,02/24/2025 12:00,5141.0300,-0.20,5512.101,4745.787,4923.979,5187.505,4978.509,5081.4852,391.6504
A34,02/21/2025 12:00,5140.6870,-0.19,5511.951,4745.859,4923.708,5187.666,4978.631,5081.4170,391.6621
A34,02/19/2025 12:00,5140.7200,-0.18,5512.07,4745.83,4923.87,5187.57,4978.72,5081.4633,391.6542
A34,02/18/2025 12:00,5140.7090,-0.18,5511.94,4745.813,4923.782,5187.566,4978.676,5081.4143,391.6626
A34,02/17/2025 12:00,5140.8690,-0.17,5511.892,4745.859,4923.771,5187.462,4978.598,5081.4085,391.6636
A34,02/14/2025 12:00,5140.7540,-0.16,5511.858,4745.733,4923.768,5187.634,4978.432,5081.3632,391.6713
A34,02/12/2025 12:00,5140.7670,-0.15,5511.73,4745.73,4923.787,5187.511,4978.367,5081.3153,391.6795
A34,02/10/2025 12:00,5140.7180,-0.14,5511.833,4745.642,4923.796,5187.515,4978.398,5081.3170,391.6792
A34,02/07/2025 12:00,5140.7370,-0.12,5511.77,4745.572,4923.713,5187.392,4978.173,5081.2262,391.6948
A34,02/05/2025 12:00,5140.5960,-0.11,5511.738,4745.58,4923.756,5187.356,4978.214,5081.2067,391.6981
A34,02/03/2025 12:00,5140.5840,-0.10,5511.756,4745.641,4923.697,5187.351,4978.202,5081.2052,391.6983
A34,01/31/2025 12:00,5140.5780,-0.09,5511.643,4745.534,4923.689,5187.41,4978.159,5081.1688,391.7046
A34,01/29/2025 12:00,5140.5030,-0.07,5511.845,4745.47,4923.584,5187.231,4978.116,5081.1248,391.7121
A34,01/27/2025 12:00,5140.5930,-0.06,5511.633,4745.488,4923.63,5187.409,4978.001,5081.1257,391.7119
A34,01/24/2025 12:00,5140.2800,-0.04,5511.414,4745.418,4923.507,5187.125,4978.194,5080.9897,391.7352
A34,01/22/2025 12:00,5140.2010,-0.01,5511.366,4745.386,4923.347,5187.168,4977.929,5080.8995,391.7506
A34,01/20/2025 12:00,5140.2630,0.01,5511.226,4745.312,4923.326,5186.824,4977.941,5080.8153,391.7650
A34,01/17/2025 12:00,5140.1430,0.02,5511.298,4745.4,4923.229,5187.108,4977.862,5080.8400,391.7608
A34,01/15/2025 12:00,5140.0400,0.03,5511.347,4745.32,4923.19,5187.054,4977.965,5080.8193,391.7644
A34,01/13/2025 12:00,5139.9440,0.05,5511.462,4745.29,4923.173,5186.978,4977.731,5080.7630,391.7740
A34,01/10/2025 12:00,5139.9670,0.16,5511.343,4744.969,4923.156,5186.963,4977.255,5080.6088,391.8004
A34,01/08/2025 12:00,5139.9320,0.25,5510.795,4744.676,4922.796,5186.165,4977.1,5080.2440,391.8628
A34,01/06/2025 12:00,5139.4790,0.33,5510.84,4744.965,4922.57,5186.32,4977.337,5080.2518,391.8615
A34,01/03/2025 12:00,5139.2850,0.37,5510.72,4745.082,4922.396,5186.248,4977.572,5080.2172,391.8674
A34,01/01/2025 12:00,5139.2590,0.40,5510.621,4745.248,4922.267,5186.247,4977.317,5080.1598,391.8772
A34,12/30/2024 12:00,5139.2580,0.38,5510.863,4745.501,4922.292,5186.178,4977.29,5080.2303,391.8651
A34,12/27/2024 12:00,5139.1630,0.35,5510.665,4745.174,4922.309,5186.045,4976.962,5080.0530,391.8955
A34,12/25/2024 12:00,5139.0840,0.36,5510.625,4745.184,4922.103,5186.051,4976.951,5079.9997,391.9046
A34,12/23/2024 12:00,5138.9800,0.40,5510.431,4745.091,4922.118,5185.712,4976.984,5079.8860,391.9241
A34,12/20/2024 12:00,5138.5400,0.45,5510.326,4745.159,4921.749,5185.562,4977.021,5079.7262,391.9514
A34,12/18/2024 12:00,5138.2660,0.43,5510.29,4745.265,4921.536,5185.478,4976.956,5079.6318,391.9675
A34,12/16/2024 12:00,5138.5850,0.43,5509.931,4745.258,4921.608,5184.928,4976.932,5079.5403,391.9832
A34,12/13/2024 12:00,5138.1550,0.67,5508.01,4745.089,4920.895,5182.867,4976.796,5078.6353,392.1380
A34,12/11/2024 12:00,5136.7640,0.83,5508.142,4743.911,4919.295,5182.6,4975.31,5077.6703,392.3032
A34,12/09/2024 12:00,5136.4810,1.00,5507.816,4744.026,4919.2,5182.293,4975.399,5077.5358,392.3262
A34,12/06/2024 12:00,5137.0840,1.49,5506.977,4744.795,4919.823,5181.681,4976.234,5077.7657,392.2868
A34,12/04/2024 12:00,5136.5460,1.89,5507.485,4744.486,4919.311,5181.958,4975.933,5077.6198,392.3118
A34,12/02/2024 12:00,5136.4820,2.36,5506.074,4744.716,4919.256,5181.234,4976.245,5077.3345,392.3606
A34,11/29/2024 12:00,5135.1290,3.86,5504.661,4744.183,4918.146,5180.083,4975.684,5076.3143,392.5352
A34,11/27/2024 12:00,5134.5080,4.66,5503.314,4743.896,4917.493,5178.976,4975.568,5075.6258,392.6530
A34,11/25/2024 12:00,5134.2920,5.36,5501.67,4744.011,4917.263,5177.435,4975.546,5075.0362,392.7539
A34,11/22/2024 12:00,5132.3930,6.84,5500.373,4741.952,4915.653,5176.32,4973.343,5073.3390,393.0442
A34,11/20/2024 12:00,5132.3590,6.57,5500.807,4741.929,4915.326,5176.637,4973.205,5073.3772,393.0377
A34,11/18/2024 12:00,5132.4610,6.44,5501.132,4742.311,4915.551,5176.707,4973.712,5073.6457,392.9918
A34,11/15/2024 12:00,5132.8280,6.06,5501.475,4742.904,4916.063,5177.128,4974.327,5074.1208,392.9105
