INSTRUMENT ID,taken_on,Reading1,Temperature,Reading2,Reading3,Reading4,Reading5,Reading6,Reading_Ave,Load
A36,03/31/2025 12:00,4448.6900,0.08,5326.34,4892.27,4452.85,5450.14,5439.04,5001.5550,384.0465
A36,03/28/2025 12:00,4448.4220,0.08,5326.334,4891.575,4453.333,5450.173,5438.965,5001.4670,384.0614
A36,03/26/2025 12:00,4448.2270,0.08,5326.372,4891.245,4453.42,5449.997,5439.128,5001.3982,384.0730
A36,03/24/2025 12:00,4448.7100,0.08,5326.303,4891.289,4453.252,5450.214,5438.954,5001.4537,384.0636
A36,03/21/2025 12:00,4447.9920,0.08,5326.192,4891.809,4452.731,5450.01,5438.946,5001.2800,384.0930
A36,03/19/2025 12:00,4448.5720,0.08,5326.193,4891.451,4453.36,5449.944,5438.972,5001.4153,384.0701
A36,03/17/2025 12:00,4448.2470,0.08,5326.06,4891.536,4452.68,5450.016,5438.806,5001.2242,384.1025
A36,03/14/2025 12:00,4448.2170,0.08,5326.154,4891.673,4453.048,5450.228,5438.743,5001.3438,384.0822
A36,03/12/2025 12:00,4448.3530,0.08,5326.185,4890.837,4453.085,5450.012,5438.478,5001.1583,384.1136
A36,03/10/2025 12:00,4448.3960,0.08,5326.26,4891.154,4453.118,5450.062,5438.498,5001.2480,384.0984
A36,03/07/2025 12:00,4448.2750,0.08,5325.975,4891.387,4452.966,5450.045,5438.425,5001.1788,384.1101
A36,03/05/2025 12:00,4448.1320,0.08,5325.919,4891.393,4452.729,5450.015,5438.392,5001.0967,384.1240
A36,03/03/2025 12:00,4448.3620,0.04,5325.857,4891.329,4452.463,5449.953,5438.061,5001.0042,384.1397
A36,02/28/2025 12:00,4448.3320,0.05,5325.769,4890.096,4452.338,5449.807,5437.975,5000.7195,384.1879
A36,02/26/2025 12:00,4447.3370,0.04,5325.487,4890.904,4452.23,5449.732,5437.834,5000.5873,384.2102
A36,02/24/2025 12:00,4448.1180,-0.62,5326.725,4891.554,4452.909,5450.499,5439.061,5001.4777,384.0596
A36,02/21/2025 12:00,4447.9380,-0.56,5326.064,4891.025,4452.671,5450.083,5438.879,5001.1100,384.1218
A36,02/19/2025 12:00,4448.5200,-0.48,5326.48,4890.53,4452.69,5450.2,5438.67,5001.1817,384.1097
A36,02/18/2025 12:00,4448.2300,-0.44,5326.056,4890.975,4452.83,5450.045,5438.72,5001.1427,384.1163
A36,02/17/2025 12:00,4448.2280,-0.43,5326.242,4890.447,4452.645,5450.168,5438.638,5001.0613,384.1300
A36,02/14/2025 12:00,4448.3630,-0.39,5326.238,4890.334,4452.803,5450.232,5438.868,5001.1397,384.1168
A36,02/12/2025 12:00,4448.4860,-0.32,5325.87,4890.439,4452.688,5450.233,5438.699,5001.0692,384.1287
A36,02/10/2025 12:00,4448.6180,-0.30,5325.954,4890.722,4452.834,5450.08,5438.759,5001.1612,384.1131
A36,02/07/2025 12:00,4448.2530,-0.22,5326.176,4891.193,4452.654,5450.01,5438.569,5001.1425,384.1163
A36,02/05/2025 12:00,4448.4350,-0.22,5325.789,4891.048,4452.516,5450.178,5438.789,5001.1258,384.1191
A36,02/03/2025 12:00,4448.2270,-0.24,5326.057,4890.825,4452.24,5450.156,5438.81,5001.0525,384.1315
A36,01/31/2025 12:00,4448.1680,-0.23,5326.095,4890.803,4452.595,5450.195,5438.851,5001.1178,384.1205
A36,01/29/2025 12:00,4448.3770,-0.15,5326.048,4890.183,4452.577,5449.951,5438.928,5001.0107,384.1386
A36,01/27/2025 12:00,4447.9880,-0.14,5326.018,4890.546,4452.46,5450.111,5438.873,5000.9993,384.1405
A36,01/24/2025 12:00,4448.2370,-0.21,5326.048,4890.223,4452.198,5449.855,5438.898,5000.9098,384.1557
A36,01/22/2025 12:00,4448.5130,-0.22,5325.963,4890.228,4452.588,5449.794,5438.779,5000.9775,384.1442
A36,01/20/2025 12:00,4448.7400,-0.12,5325.805,4889.469,4452.602,5449.606,5438.855,5000.8462,384.1664
A36,01/17/2025 12:00,4448.3470,-0.03,5325.645,4890.512,4452.037,5449.536,5438.667,5000.7907,384.1758
A36,01/15/2025 12:00,4448.6210,-0.06,5325.217,4890.153,4452.61,5449.472,5438.708,5000.7968,384.1748
A36,01/13/2025 12:00,4448.6230,-0.03,5325.594,4890.204,4452.575,5449.453,5438.575,5000.8373,384.1679
A36,01/10/2025 12:00,4448.2960,-0.29,5325.75,4890.292,4452.423,5449.807,5439.033,5000.9335,384.1517
A36,01/08/2025 12:00,4448.5760,-0.35,5325.669,4889.435,4452.519,5449.129,5439.022,5000.7250,384.1869
A36,01/06/2025 12:00,4448.7080,0.05,5324.977,4889.854,4452.548,5448.949,5438.669,5000.6175,384.2051
A36,01/03/2025 12:00,4448.5680,0.18,5324.927,4890.332,4452.563,5448.693,5438.868,5000.6585,384.1982
