INSTRUMENT ID,taken_on,Reading1,Temperature,Reading2,Reading3,Reading4,Reading5,Reading6,Reading_Ave,Load
A28,03/31/2025 12:00,5029.1900,-0.10,5170.34,5836.82,5687.21,5214.88,5401.67,5390.0183,135.9644
A28,03/28/2025 12:00,5029.8660,-0.39,5170.932,5837.469,5687.249,5215.067,5402.73,5390.5522,135.9261
A28,03/26/2025 12:00,5036.2720,-0.58,5173.055,5835.381,5683.954,5216.413,5409.447,5392.4203,135.7923
A28,03/24/2025 12:00,5043.5690,-0.42,5179.636,5834.443,5677.337,5214.039,5414.548,5393.9287,135.6843
A28,03/21/2025 12:00,5025.6600,0.20,5167.048,5835.626,5688.138,5215.341,5399.427,5388.5400,136.0703
A28,03/19/2025 12:00,5025.0040,0.49,5166.817,5835.334,5687.902,5215.049,5399.233,5388.2232,136.0930
A28,03/17/2025 12:00,5028.1580,0.01,5168.306,5834.169,5686.241,5217.019,5403.269,5389.5270,135.9996
A28,03/14/2025 12:00,5025.4410,-0.08,5165.72,5834.398,5688.416,5217.184,5401.229,5388.7313,136.0566
A28,03/12/2025 12:00,5026.5740,-0.45,5167.358,5834.015,5687.598,5217.827,5403.459,5389.4718,136.0035
A28,03/10/2025 12:00,5026.6350,-0.29,5166.823,5833.218,5687.268,5217.997,5403.226,5389.1945,136.0234
A28,03/07/2025 12:00,5025.3010,-0.26,5165.468,5833.278,5687.674,5217.348,5401.668,5388.4562,136.0763
A28,03/05/2025 12:00,5024.2270,-0.07,5164.587,5832.811,5687.599,5216.759,5400.356,5387.7232,136.1288
A28,03/03/2025 12:00,5027.5500,-0.39,5165.525,5831.946,5686.483,5218.129,5403.074,5388.7845,136.0527
A28,02/28/2025 12:00,5026.3420,-0.55,5164.683,5831.919,5687.015,5218.321,5402.631,5388.4852,136.0742
A28,02/26/2025 12:00,5023.9180,-0.39,5163.39,5832.351,5688.292,5218.107,5400.634,5387.7820,136.1246
A28,02/24/2025 12:00,5025.5040,-1.29,5164.136,5832.277,5688.849,5220.001,5402.143,5388.8183,136.0503
A28,02/21/2025 12:00,5024.6330,-1.90,5164.299,5832.232,5688.403,5220.009,5401.684,5388.5433,136.0700
A28,02/19/2025 12:00,5024.4600,-1.86,5163.95,5832.24,5688.23,5219.47,5401.16,5388.2517,136.0909
A28,02/18/2025 12:00,5024.0170,-1.87,5163.64,5832.077,5688.104,5219.054,5400.741,5387.9388,136.1133
A28,02/17/2025 12:00,5024.6810,-1.59,5163.53,5832.034,5688.267,5218.77,5400.591,5387.9788,136.1105
A28,02/14/2025 12:00,5024.1650,-1.64,5163.458,5831.804,5688.162,5218.695,5400.469,5387.7922,136.1238
A28,02/12/2025 12:00,5023.3980,-1.88,5163.3,5831.774,5687.847,5218.155,5399.949,5387.4038,136.1516
A28,02/10/2025 12:00,5023.4330,-1.44,5162.946,5831.503,5687.1,5217.546,5399.849,5387.0628,136.1761
A28,02/07/2025 12:00,5022.9770,-1.58,5162.647,5831.106,5686.849,5217.634,5399.586,5386.7998,136.1949
A28,02/05/2025 12:00,5022.8620,-1.74,5162.649,5831.047,5686.939,5217.738,5399.563,5386.7997,136.1949
A28,02/03/2025 12:00,5022.9620,-1.87,5162.664,5830.574,5686.905,5217.47,5399.253,5386.6380,136.2065
A28,01/31/2025 12:00,5022.9530,-1.83,5162.411,5830.157,5687.087,5217.16,5399.256,5386.5040,136.2161
A28,01/29/2025 12:00,5022.0530,-4.55,5161.986,5831.561,5688.963,5218.466,5398.702,5386.9552,136.1838
A28,01/27/2025 12:00,5022.5710,-1.97,5161.375,5829.595,5686.946,5217.238,5399.445,5386.1950,136.2382
A28,01/24/2025 12:00,5023.4330,-3.35,5161.953,5829.465,5688.695,5218.901,5399.522,5386.9948,136.1809
A28,01/22/2025 12:00,5023.4030,-5.00,5162.062,5829.785,5690.241,5219.821,5399.07,5387.3970,136.1521
A28,01/20/2025 12:00,5022.9450,-4.20,5161.306,5828.712,5688.969,5218.946,5398.34,5386.5363,136.2138
A28,01/17/2025 12:00,5021.4880,-1.76,5159.276,5826.556,5686.235,5217.216,5398.109,5384.8133,136.3372
A28,01/15/2025 12:00,5021.6750,-3.39,5160.03,5827.565,5688.139,5219.001,5398.269,5385.7798,136.2680
A28,01/13/2025 12:00,5020.4380,-1.76,5158.688,5825.735,5685.419,5216.393,5396.524,5383.8662,136.4050
A28,01/10/2025 12:00,5022.5670,-2.93,5161.884,5822.339,5684.165,5216.034,5394.423,5383.5687,136.4264
A28,01/08/2025 12:00,5033.2140,-5.05,5161.964,5820.429,5678.86,5216.762,5407.786,5386.5025,136.2162
A28,01/06/2025 12:00,5020.4300,-1.61,5158.01,5822.13,5678.654,5212.95,5395.692,5381.3110,136.5881
A28,01/03/2025 12:00,5015.9560,-1.16,5154.383,5825.172,5680.488,5208.555,5391.964,5379.4197,136.7235
A28,01/01/2025 12:00,5014.5800,0.54,5153.589,5823.831,5679.086,5206.828,5390.371,5378.0475,136.8218
A28,12/30/2024 12:00,5014.4820,0.49,5153.445,5823.841,5679.317,5206.875,5390.569,5378.0882,136.8189
A28,12/27/2024 12:00,5014.4730,-0.14,5153.9,5824.317,5679.269,5207.364,5390.369,5378.2820,136.8050
A28,12/25/2024 12:00,5014.9480,-0.17,5154.137,5823.339,5678.572,5207.196,5390.837,5378.1715,136.8130
A28,12/23/2024 12:00,5015.6100,-0.37,5154.112,5823.193,5677.757,5207.626,5391.607,5378.3175,136.8025
A28,12/20/2024 12:00,5012.6050,0.23,5151.521,5823.357,5677.801,5204.968,5387.979,5376.3718,136.9419
A28,12/18/2024 12:00,5012.5890,0.01,5151.572,5822.932,5677.858,5204.794,5388.076,5376.3035,136.9468
A28,12/16/2024 12:00,5011.8410,0.07,5151.206,5823.345,5677.094,5204.435,5388.205,5376.0210,136.9670
A28,12/13/2024 12:00,5011.4540,-0.05,5150.515,5824.041,5675.998,5203.496,5389.169,5375.7788,136.9843
A28,12/11/2024 12:00,5010.5830,0.01,5150.175,5822.155,5675.375,5201.943,5386.011,5374.3737,137.0850
A28,12/09/2024 12:00,5008.0210,0.01,5147.867,5820.429,5673.15,5199.295,5383.232,5371.9990,137.2551
A28,12/06/2024 12:00,5008.1950,-0.06,5147.969,5821.605,5673.285,5199.462,5384.525,5372.5068,137.2187
A28,12/04/2024 12:00,5008.7130,0.07,5148.403,5821.097,5673.674,5199.749,5384.07,5372.6177,137.2108
A28,12/02/2024 12:00,5008.9360,0.05,5148.56,5821.436,5673.792,5200.045,5384.666,5372.9058,137.1901
A28,11/29/2024 12:00,5009.7980,0.19,5148.59,5820.893,5674.751,5200.648,5385.109,5373.2982,137.1620
A28,11/27/2024 12:00,5008.8890,1.27,5147.897,5820.06,5673.746,5199.579,5383.908,5372.3465,137.2302
A28,11/25/2024 12:00,5008.2000,1.21,5147.122,5819.75,5673.082,5199.054,5383.367,5371.7625,137.2720
A28,11/22/2024 12:00,5005.0230,5.93,5144.977,5815.316,5669.341,5194.991,5379.805,5368.2422,137.5242
A28,11/20/2024 12:00,5004.5120,7.47,5144.649,5814.689,5668.246,5193.871,5379.246,5367.5355,137.5748
A28,11/18/2024 12:00,5003.1690,8.95,5144.073,5813.436,5666.929,5192.771,5378.279,5366.4428,137.6531
A28,11/15/2024 12:00,5005.1160,6.10,5145.246,5815.485,5669.162,5195.369,5380.343,5368.4535,137.5091
A28,11/13/2024 12:00,5005.3300,5.95,5145.01,5816.16,5669.42,5195.49,5381.25,5368.7767,137.4859
A28,11/12/2024 12:00,5004.9550,5.84,5144.936,5816.019,5668.888,5195.326,5380.914,5368.5063,137.5053
A28,11/11/2024 12:00,5004.7770,7.62,5144.686,5814.946,5668.568,5194.271,5380.161,5367.9015,137.5486
A28,11/08/2024 12:00,5002.8820,8.76,5143.034,5812.975,5666.585,5192.622,5378.122,5366.0367,137.6822
A28,11/06/2024 12:00,5002.7120,10.02,5142.958,5812.629,5666.277,5191.837,5378.154,5365.7612,137.7019
A28,11/04/2024 12:00,5004.3990,8.77,5144.167,5814.312,5668.016,5193.781,5379.863,5367.4230,137.5829
A28,11/01/2024 12:00,5004.5580,5.85,5144.053,5815.001,5668.403,5194.738,5379.962,5367.7858,137.5569
A28,10/30/2024 12:00,4997.6410,16.20,5138.426,5807.56,5659.901,5185.955,5373.902,5360.5642,138.0742
A28,10/28/2024 12:00,5005.2120,6.48,5144.981,5815.275,5669.078,5195.932,5381.369,5368.6412,137.4956
A28,10/25/2024 12:00,5002.4600,9.82,5142.48,5813.11,5665.35,5192.02,5379.09,5365.7517,137.7026
A28,10/24/2024 12:00,5000.0140,10.26,5140.467,5811.169,5662.322,5189.67,5376.56,5363.3670,137.8734
A28,10/23/2024 12:00,4998.9820,12.53,5139.042,5810.328,5661.67,5187.138,5376.125,5362.2142,137.9560
A28,10/21/2024 12:00,4995.3310,16.12,5137.56,5807.767,5659.001,5185.45,5373.948,5359.8428,138.1258
A28,10/18/2024 12:00,5000.4230,13.27,5140.87,5810.798,5663.012,5190.069,5377.997,5363.8615,137.8380
A28,10/16/2024 12:00,5003.1480,9.81,5142.9,5813.81,5666.438,5193.348,5380.895,5366.7565,137.6306
A28,10/14/2024 12:00,5002.2670,9.27,5142.05,5813.565,5665.196,5192.457,5380.587,5366.0203,137.6833
A28,10/11/2024 12:00,4999.8580,15.34,5140.011,5810.771,5661.509,5188.188,5378.808,5363.1908,137.8860
A28,10/09/2024 12:00,5001.9540,11.43,5141.285,5812.827,5664.502,5190.692,5380.28,5365.2567,137.7380
A28,10/07/2024 12:00,4999.6900,13.38,5138.66,5811.67,5661.63,5187.53,5378.76,5362.9900,137.9004
A28,10/06/2024 12:00,4999.2640,15.50,5137.559,5811.907,5660.812,5185.167,5379.278,5362.3312,137.9476
