INSTRUMENT ID,taken_on,Reading1,Temperature,Reading2,Reading3,Reading4,Reading5,Reading6,Reading_Ave,Load
A38,03/31/2025 12:00,5049.9300,0.14,5406.25,4979.17,5297.11,5150.95,4718.75,5100.3600,376.9829
A38,03/28/2025 12:00,5049.2250,0.13,5406.228,4979.117,5297.237,5151.166,4719.534,5100.4178,376.9730
A38,03/26/2025 12:00,5049.5720,0.11,5406.068,4979.261,5297.127,5150.476,4718.814,5100.2197,377.0068
A38,03/24/2025 12:00,5049.5960,0.11,5406.501,4979.041,5297.175,5150.935,4718.149,5100.2328,377.0045
A38,03/21/2025 12:00,5049.5240,0.17,5406.09,4978.91,5296.807,5150.998,4718.634,5100.1605,377.0169
A38,03/19/2025 12:00,5049.2790,0.19,5405.442,4979.215,5296.761,5150.119,4718.596,5099.9020,377.0609
A38,03/17/2025 12:00,5049.0670,0.18,5405.824,4978.816,5296.57,5150.244,4718.59,5099.8518,377.0694
A38,03/14/2025 12:00,5048.7710,0.18,5405.878,4979.204,5296.92,5150.372,4718.299,5099.9073,377.0600
A38,03/12/2025 12:00,5048.3260,0.09,5405.63,4979.231,5297.182,5150.161,4717.994,5099.7540,377.0861
A38,03/10/2025 12:00,5048.4490,0.14,5405.61,4979.07,5296.792,5150.489,4717.331,5099.6235,377.1083
A38,03/07/2025 12:00,5048.1390,0.12,5405.394,4979.072,5296.802,5150.34,4717.654,5099.5668,377.1180
A38,03/05/2025 12:00,5048.0560,0.15,5405.507,4978.785,5296.598,5150.242,4717.623,5099.4685,377.1347
A38,03/03/2025 12:00,5048.3240,-0.04,5405.707,4978.563,5296.503,5150.314,4717.376,5099.4645,377.1354
A38,02/28/2025 12:00,5047.4330,0.01,5405.729,4978.231,5296.376,5150.5,4717.648,5099.3195,377.1601
A38,02/26/2025 12:00,5047.4400,0.12,5405.287,4978.091,5295.733,5150.417,4717.355,5099.0538,377.2053
A38,02/24/2025 12:00,5047.8250,-0.33,5406.735,4978.245,5295.89,5151.248,4717.605,5099.5913,377.1138
