INSTRUMENT ID,taken_on,Reading1,Temperature,Reading2,Reading3,Reading4,Reading5,Reading6,Reading_Ave,Load
A16,03/31/2025 12:00,5505.4400,-0.37,4847.73,4901.73,4709.36,5079.72,5851.29,5149.2117,272.6945
A16,03/28/2025 12:00,5506.1370,-0.89,4848.294,4902.003,4710.209,5080.29,5851.424,5149.7262,272.6332
A16,03/26/2025 12:00,5508.0680,-2.62,4849.319,4903.763,4712.129,5081.553,5853.147,5151.3298,272.4419
A16,03/24/2025 12:00,5506.1660,-0.78,4848.382,4901.482,4710.688,5080.68,5851.281,5149.7798,272.6268
A16,03/21/2025 12:00,5503.8030,1.25,4846.437,4899.936,4707.875,5078.646,5849.646,5147.7238,272.8720
A16,03/19/2025 12:00,5503.5060,1.51,4846.873,4899.972,4707.861,5078.94,5849.578,5147.7883,272.8644
A16,03/17/2025 12:00,5509.2660,-2.58,4850.376,4904.212,4713.795,5082.57,5853.439,5152.2763,272.3289
A16,03/14/2025 12:00,5503.7200,1.12,4847.062,4900.136,4708,5078.916,5849.775,5147.9348,272.8469
A16,03/12/2025 12:00,5508.7160,-3.48,4850.648,4905.187,4713.211,5082.484,5854.313,5152.4265,272.3110
A16,03/10/2025 12:00,5505.3600,-0.22,4848.03,4901.262,4709.734,5079.951,5850.922,5149.2098,272.6948
A16,03/07/2025 12:00,5506.3590,-1.47,4848.312,4902.821,4710.835,5080.371,5852.223,5150.1535,272.5822
A16,03/05/2025 12:00,5505.0190,-0.05,4848.109,4900.509,4709.362,5080.043,5850.309,5148.8918,272.7327
A16,03/03/2025 12:00,5508.7120,-2.01,4850.134,4903.945,4713.096,5082.098,5853.477,5151.9103,272.3726
A16,02/28/2025 12:00,5508.5620,-4.05,4850.361,4904.47,4712.971,5082.092,5853.869,5152.0542,272.3554
A16,02/26/2025 12:00,5504.5250,-0.62,4847.668,4900.499,4708.75,5079.597,5850.485,5148.5873,272.7690
A16,02/24/2025 12:00,5508.5590,-1.71,4851.065,4900.373,4712.569,5083.522,5851.623,5151.2852,272.4472
A16,02/21/2025 12:00,5516.0610,-7.75,4855.777,4909.903,4720.856,5088.328,5859.634,5158.4265,271.5952
A16,02/19/2025 12:00,5516.3600,-8.35,4855.92,4910.63,4721.32,5088.47,5860.31,5158.8350,271.5465
A16,02/18/2025 12:00,5515.4610,-7.30,4855.249,4909.55,4720.336,5087.904,5859.279,5157.9632,271.6505
A16,02/17/2025 12:00,5516.4430,-8.56,4856.27,4910.202,4721.355,5088.634,5859.764,5158.7780,271.5533
A16,02/14/2025 12:00,5515.4600,-7.11,4855.475,4909.863,4720.426,5088.005,5859.415,5158.1073,271.6333
A16,02/12/2025 12:00,5514.8190,-6.65,4854.889,4909.506,4719.772,5087.535,5859.136,5157.6095,271.6927
A16,02/10/2025 12:00,5513.7170,-5.48,4854.654,4907.705,4718.684,5087.179,5857.576,5156.5858,271.8148
A16,02/07/2025 12:00,5514.0060,-5.45,4854.909,4907.734,4718.943,5087.575,5857.628,5156.7992,271.7894
A16,02/05/2025 12:00,5513.8700,-5.03,4854.729,4907.456,4718.821,5087.408,5857.405,5156.6148,271.8114
A16,02/03/2025 12:00,5513.2150,-3.95,4854.713,4906.375,4718.257,5087.413,5856.426,5156.0665,271.8768
A16,01/31/2025 12:00,5513.2100,-3.82,4854.788,4906.359,4718.23,5087.458,5856.487,5156.0887,271.8741
A16,01/29/2025 12:00,5516.7510,-7.12,4857.005,4909.975,4721.796,5089.562,5859.683,5159.1287,271.5115
A16,01/27/2025 12:00,5513.2020,-3.12,4855.098,4905.825,4718.174,5087.767,5856.27,5156.0560,271.8780
A16,01/24/2025 12:00,5518.6540,-7.43,4858.746,4912.526,4723.913,5091.566,5862.353,5161.2930,271.2532
A16,01/22/2025 12:00,5519.4090,-8.27,4859.804,4914.504,4724.753,5092.576,5864.563,5162.6015,271.0971
A16,01/20/2025 12:00,5520.6360,-9.97,4860.565,4916.087,4725.977,5092.861,5865.456,5163.5970,270.9784
A16,01/17/2025 12:00,5510.9190,-2.47,4853.468,4905.342,4716.898,5085.972,5854.555,5154.5257,272.0606
A16,01/15/2025 12:00,5515.2470,-5.38,4856.761,4909.076,4721.18,5089.473,5858.543,5158.3800,271.6008
A16,01/13/2025 12:00,5512.1640,-2.96,4854.521,4905.741,4718.414,5087.174,5854.829,5155.4738,271.9475
A16,01/10/2025 12:00,5516.3370,-4.38,4858.408,4908.214,4723.471,5092.316,5858.737,5159.5805,271.4575
A16,01/08/2025 12:00,5529.7090,-13.40,4864.967,4919.652,4737.253,5099.015,5868.386,5169.8303,270.2347
A16,01/06/2025 12:00,5513.7180,-5.32,4853.911,4910.521,4719.391,5085.974,5857.631,5156.8577,271.7824
A16,01/03/2025 12:00,5513.0510,-3.82,4853.415,4910.126,4719.358,5085.362,5857.661,5156.4955,271.8256
A16,01/01/2025 12:00,5509.3540,0.22,4850.686,4906.138,4715.6,5083.031,5853.868,5153.1128,272.2291
A16,12/30/2024 14:00,5508.7400,1.36,4850.36,4905.17,4715.06,5082.52,5852.85,5152.4500,272.3082
A16,12/27/2024 12:00,5509.0810,0.64,4850.5,4906.213,4715.475,5083.052,5853.878,5153.0332,272.2386
A16,12/25/2024 12:00,5510.1630,-0.73,4851.075,4907.605,4716.575,5083.542,5855.216,5154.0293,272.1198
A16,12/23/2024 12:00,5510.4880,-1.37,4851.204,4908.045,4717.307,5083.658,5855.486,5154.3647,272.0798
A16,12/20/2024 12:00,5511.1320,-2.17,4851.665,4908.263,4717.199,5083.65,5855.898,5154.6345,272.0476
A16,12/18/2024 12:00,5509.9200,-0.16,4850.706,4906.738,4716.283,5082.954,5854.357,5153.4930,272.1838
A16,12/16/2024 12:00,5509.7210,0.79,4850.771,4907.085,4716.277,5082.989,5854.428,5153.5452,272.1776
A16,12/13/2024 12:00,5510.6870,-0.94,4850.737,4907.773,4717.187,5082.941,5855.178,5154.0838,272.1133
A16,12/11/2024 12:00,5510.2500,-0.25,4850.61,4907.1,4716.73,5082.77,5854.46,5153.6533,272.1647
A16,12/09/2024 12:00,5510.5780,-0.21,4850.742,4907.421,4717.147,5082.916,5854.651,5153.9092,272.1341
A16,12/06/2024 12:00,5510.9830,-0.46,4850.759,4907.8,4717.637,5082.932,5854.829,5154.1567,272.1046
A16,12/04/2024 12:00,5510.8220,-0.07,4850.72,4907.471,4717.477,5082.982,5854.622,5154.0157,272.1214
A16,12/02/2024 12:00,5511.0930,-0.22,4850.674,4907.625,4717.768,5082.818,5854.533,5154.0852,272.1131
A16,11/29/2024 12:00,5511.0550,0.11,4850.555,4907.495,4717.793,5082.798,5854.375,5154.0118,272.1219
A16,11/27/2024 12:00,5511.0850,0.59,4850.64,4907.672,4717.836,5082.759,5854.297,5154.0482,272.1176
A16,11/25/2024 12:00,5510.7270,0.67,4850.749,4907.415,4717.427,5082.741,5854.025,5153.8473,272.1415
A16,11/22/2024 12:00,5504.4400,5.99,4846.102,4901.377,4711.003,5077.745,5848.452,5148.1865,272.8169
A16,11/20/2024 12:00,5502.3900,7.63,4844.659,4899.142,4709.013,5076.393,5846.44,5146.3395,273.0372
A16,11/18/2024 12:00,5501.7900,8.20,4844.58,4898.9,4708.56,5076.1,5845.99,5145.9867,273.0793
A16,11/15/2024 12:00,5504.3330,6.37,4845.935,4901.071,4711.058,5077.491,5848.042,5147.9883,272.8405
A16,11/13/2024 12:00,5506.1900,5.12,4847.09,4902.63,4712.56,5078.8,5849.67,5149.4900,272.6613
A16,11/11/2024 12:30,5504.6500,6.85,4845.88,4901.61,4711.71,5077.62,5848.15,5148.2700,272.8069
A16,11/08/2024 12:00,5504.4560,7.59,4845.408,4901.288,4711.509,5077.045,5847.845,5147.9252,272.8480
A16,11/06/2024 12:00,5501.8460,9.36,4843.566,4899.075,4709.046,5075.153,5845.685,5145.7285,273.1101
A16,11/04/2024 12:30,5501.9900,9.36,4843.79,4898.74,4709.09,5075.31,5845.49,5145.7350,273.1093
A16,11/01/2024 12:00,5508.4420,4.18,4848.392,4906.053,4715.845,5079.798,5851.653,5151.6972,272.3980
A16,10/30/2024 12:00,5492.1400,17.00,4837.092,4890.234,4699.526,5068.638,5837.579,5137.5348,274.0876
A16,10/28/2024 12:00,5506.7090,5.61,4846.59,4902.83,4713.416,5078.012,5849.443,5149.5000,272.6601
A16,10/25/2024 12:15,5502.0300,9.07,4842.96,4898.49,4709.03,5074.34,5845.35,5145.3667,273.1533
A16,10/23/2024 12:00,5501.6800,9.92,4843.144,4899.853,4709.222,5074.613,5846.039,5145.7585,273.1065
A16,10/21/2024 12:00,5499.9590,10.66,4841.461,4896.788,4707.029,5072.884,5843.605,5143.6210,273.3615
A16,10/18/2024 12:00,5503.9320,7.99,4843.745,4899.233,4710.553,5075.104,5846.43,5146.4995,273.0181
A16,10/16/2024 12:00,5507.0560,5.33,4845.714,4902.134,4713.44,5077.013,5849.053,5149.0683,272.7116
A16,10/14/2024 12:00,5506.9940,5.54,4845.678,4902.605,4713.42,5076.739,5849.159,5149.0992,272.7080
A16,10/11/2024 12:20,5497.1700,12.51,4838.55,4893.45,4703.61,5069.69,5841.02,5140.5817,273.7241
A16,10/09/2024 12:00,5504.2450,7.90,4844.228,4900.013,4711.211,5075.159,5846.243,5146.8498,272.9763
A16,10/07/2024 12:00,5498.4220,9.37,4842.419,4901.289,4704.929,5073.873,5847.253,5144.6975,273.2331
A16,10/04/2024 12:00,5493.4380,12.26,4838.398,4896.303,4699.619,5069.857,5842.854,5140.0782,273.7842
A16,10/02/2024 12:00,5491.9950,12.77,4837.325,4895.029,4698.097,5069.155,5841.729,5138.8883,273.9261
A16,09/30/2024 12:00,5491.1330,13.67,4836.515,4894.731,4697.344,5068.535,5841.37,5138.2713,273.9997
A16,09/27/2024 12:00,5489.0210,15.25,4835.195,4893.198,4695.704,5067.166,5839.981,5136.7108,274.1859
A16,09/25/2024 12:00,5484.4400,17.89,4832.01,4889.11,4691.1,5063.88,5836.42,5132.8267,274.6493
A16,09/23/2024 12:00,5492.0970,12.31,4837.27,4896.334,4698.447,5069.084,5842.512,5139.2907,273.8781
A16,09/20/2024 12:00,5481.8170,18.19,4829.729,4887.824,4688.024,5061.555,5835.552,5130.7502,274.8970
A16,09/18/2024 12:00,5482.5020,17.95,4830.293,4888.29,4688.68,5062.099,5835.995,5131.3098,274.8302
A16,09/16/2024 12:00,5480.7610,19.25,4828.894,4886.739,4686.932,5060.806,5834.593,5129.7875,275.0119
A16,09/13/2024 12:00,5480.7800,19.07,4828.301,4885.525,4686.839,5060.223,5833.699,5129.2278,275.0786
A16,09/11/2024 12:30,5480.2700,18.53,4827.46,4884.29,4686.28,5059.34,5832.52,5128.3600,275.1822
A16,09/10/2024 12:00,5482.4940,17.59,4828.856,4885.67,4688.297,5060.75,5833.888,5129.9925,274.9874
A16,09/09/2024 12:30,5481.0600,18.86,4828.26,4884.86,4687.12,5060.01,5832.96,5129.0450,275.1004
A16,09/06/2024 12:00,5485.2130,14.53,4830.088,4888.322,4690.888,5061.994,5836.025,5132.0883,274.7374
A16,09/04/2024 12:00,5476.6160,20.71,4824.22,4881.579,4682.295,5056.006,5829.956,5125.1120,275.5696
A16,09/02/2024 12:00,5481.7980,17.67,4827.964,4885.786,4687.485,5059.917,5833.755,5129.4508,275.0520
A16,08/30/2024 12:00,5476.8860,19.58,4824.114,4882.204,4682.437,5055.928,5830.748,5125.3862,275.5369
A16,08/28/2024 12:00,5480.1540,16.49,4825.836,4885.673,4685.447,5057.705,5833.803,5128.1030,275.2128
A16,08/26/2024 12:00,5465.7700,27.12,4816.7,4875.4,4671.01,5048.22,5824.87,5116.9950,276.5380
