INSTRUMENT ID,taken_on,Reading1,Temperature,Reading2,Reading3,Reading4,Reading5,Reading6,Reading_Ave,Load
A12,03/31/2025 12:00,5522.0600,1.22,5230.02,5123.27,4904.36,5015.12,4904.26,5116.5150,831.3383
A12,03/28/2025 12:00,5523.5890,-1.25,5231.884,5124.814,4905.857,5016.67,4900.039,5117.1422,831.1275
A12,03/26/2025 12:00,5520.5920,2.89,5229.726,5122.832,4903.147,5015.258,4898.858,5115.0688,831.8244
A12,03/24/2025 12:00,5522.9080,-0.14,5231.941,5124.905,4905.212,5016.894,4900.457,5117.0528,831.1575
A12,03/21/2025 12:00,5521.5860,0.95,5229.224,5122.297,4903.708,5014.646,4898.145,5114.9343,831.8696
A12,03/19/2025 12:00,5518.8810,2.09,5225.766,5120.111,4901.543,5010.952,4895.302,5112.0925,832.8247
A12,03/17/2025 12:00,5520.5300,1.57,5228.912,5123.24,4903.714,5014.006,4897.931,5114.7222,831.9409
A12,03/14/2025 12:00,5520.0070,2.14,5228.984,5122.275,4903.278,5014.385,4896.647,5114.2627,832.0953
A12,03/12/2025 12:00,5524.7230,-0.57,5233.984,5124.44,4907.994,5019.004,4899.217,5118.2270,830.7629
A12,03/10/2025 12:00,5523.6080,-0.23,5232.907,5124.029,4907,5017.43,4898.172,5117.1910,831.1111
A12,03/07/2025 12:00,5524.0990,-0.02,5234.176,5125.273,4907.994,5018.924,4899.2,5118.2777,830.7459
A12,03/05/2025 12:00,5524.0500,-0.13,5234.075,5124.973,4908.218,5018.898,4899.023,5118.2062,830.7699
A12,03/03/2025 12:00,5526.2500,0.02,5236.421,5127.363,4910.394,5021.315,4901.614,5120.5595,829.9790
A12,02/28/2025 12:00,5526.8210,-3.17,5236.876,5127.054,4910.527,5021.86,4900.864,5120.6670,829.9428
A12,02/26/2025 12:00,5523.8630,0.87,5235.101,5126.157,4908.528,5019.88,4900.02,5118.9248,830.5284
A12,02/24/2025 12:00,5527.8630,-2.95,5239.265,5129.775,4912.336,5024.039,4903.743,5122.8368,829.2135
A12,02/21/2025 12:00,5529.4140,-4.12,5241.116,5132.033,4913.366,5026.193,4906.203,5124.7208,828.5803
A12,02/19/2025 12:00,5529.1000,-4.02,5240.99,5132.3,4913.04,5026.24,4906.45,5124.6867,828.5918
A12,02/18/2025 12:00,5528.9750,-4.17,5240.954,5132.56,4912.871,5026.047,4906.581,5124.6647,828.5992
A12,02/17/2025 12:00,5528.3270,-3.45,5240.457,5131.125,4912.466,5025.284,4905.193,5123.8087,828.8869
A12,02/14/2025 12:00,5528.7080,-3.46,5240.169,5130.725,4912.516,5025.151,4905.047,5123.7193,828.9169
A12,02/12/2025 12:00,5528.5470,-3.50,5239.778,5130.696,4912.328,5025.021,4905.016,5123.5643,828.9690
A12,02/10/2025 12:00,5528.1200,-3.01,5238.676,5129.32,4912.098,5023.738,4903.797,5122.6248,829.2848
A12,02/07/2025 12:00,5528.2750,-3.18,5238.58,5129.537,4912.158,5023.944,4904.061,5122.7592,829.2396
A12,02/05/2025 12:00,5528.3180,-3.10,5238.414,5129.626,4912.09,5024.09,4904.394,5122.8220,829.2185
A12,02/03/2025 12:00,5528.5450,-3.05,5238.656,5129.655,4912.242,5024.441,4904.398,5122.9895,829.1622
A12,01/31/2025 12:00,5528.4610,-2.76,5238.227,5129.229,4911.917,5024.061,4904.123,5122.6697,829.2697
A12,01/29/2025 12:00,5529.2630,-3.82,5238.829,5130.725,4912.525,5024.657,4905.384,5123.5638,828.9692
A12,01/27/2025 12:00,5527.6750,-2.28,5237.942,5128.458,4910.937,5023.596,4903.115,5121.9538,829.5103
A12,01/24/2025 12:00,5530.0070,-3.39,5240.443,5131.457,4912.979,5025.681,4905.463,5124.3383,828.7089
A12,01/22/2025 12:00,5531.0030,-5.53,5241.243,5132.709,4913.467,5026.899,4907.217,5125.4230,828.3443
A12,01/20/2025 12:00,5529.5900,-4.07,5239.329,5130.922,4912.021,5024.9,4905.778,5123.7567,828.9044
A12,01/17/2025 12:00,5526.3810,-1.99,5237.321,5128.182,4909.619,5022.799,4902.263,5121.0942,829.7993
A12,01/15/2025 12:00,5527.9540,-3.37,5239.078,5130.236,4910.957,5024.234,4904.033,5122.7487,829.2432
A12,01/13/2025 12:00,5525.0280,-1.56,5236.775,5127.063,4908.513,5022.352,4900.962,5120.1155,830.1282
